order_id;order_date;customer_id;segment;category;sub_category;sales;quantity;profit
CA-2016-152156;11/8/2016;CG-12520;Consumer;Furniture;Bookcases;26196;2;419136
CA-2016-152156;11/8/2016;CG-12520;Consumer;Furniture;Chairs;73194;3;219582
CA-2016-138688;6/12/2016;DV-13045;Corporate;Office Supplies;Labels;1462;2;68714
US-2015-108966;10/11/2015;SO-20335;Consumer;Furniture;Tables;9575775;5;-383031
US-2015-108966;10/11/2015;SO-20335;Consumer;Office Supplies;Storage;22368;2;25164
CA-2014-115812;6/9/2014;BH-11710;Consumer;Furniture;Furnishings;4886;7;141694
CA-2014-115812;6/9/2014;BH-11710;Consumer;Office Supplies;Art;728;4;19656
CA-2014-115812;6/9/2014;BH-11710;Consumer;Technology;Phones;907152;6;907152
CA-2014-115812;6/9/2014;BH-11710;Consumer;Office Supplies;Binders;18504;3;57825
CA-2014-115812;6/9/2014;BH-11710;Consumer;Office Supplies;Appliances;1149;5;3447
CA-2014-115812;6/9/2014;BH-11710;Consumer;Furniture;Tables;1706184;9;853092
CA-2014-115812;6/9/2014;BH-11710;Consumer;Technology;Phones;911424;4;683568
CA-2017-114412;4/15/2017;AA-10480;Consumer;Office Supplies;Paper;15552;3;54432
CA-2016-161389;12/5/2016;IM-15070;Consumer;Office Supplies;Binders;407976;3;1325922
US-2015-118983;11/22/2015;HP-14815;Home Office;Office Supplies;Appliances;6881;5;-123858
US-2015-118983;11/22/2015;HP-14815;Home Office;Office Supplies;Binders;2544;3;-3816
CA-2014-105893;11/11/2014;PK-19075;Consumer;Office Supplies;Storage;66588;6;133176
CA-2014-167164;5/13/2014;AG-10270;Consumer;Office Supplies;Storage;555;2;999
CA-2014-143336;8/27/2014;ZD-21925;Consumer;Office Supplies;Art;856;2;24824
CA-2014-143336;8/27/2014;ZD-21925;Consumer;Technology;Phones;21348;3;16011
CA-2014-143336;8/27/2014;ZD-21925;Consumer;Office Supplies;Binders;2272;4;7384
CA-2016-137330;12/9/2016;KB-16585;Corporate;Office Supplies;Art;1946;7;50596
CA-2016-137330;12/9/2016;KB-16585;Corporate;Office Supplies;Appliances;6034;7;156884
US-2017-156909;7/16/2017;SF-20065;Consumer;Furniture;Chairs;71372;2;-10196
CA-2015-106320;9/25/2015;EB-13870;Consumer;Furniture;Tables;104463;3;2402649
CA-2016-121755;1/16/2016;EH-13945;Consumer;Office Supplies;Binders;11648;2;42224
CA-2016-121755;1/16/2016;EH-13945;Consumer;Technology;Accessories;9057;3;117741
US-2015-150630;9/17/2015;TB-21520;Consumer;Furniture;Bookcases;308343;7;-16650522
US-2015-150630;9/17/2015;TB-21520;Consumer;Office Supplies;Binders;9618;2;-70532
US-2015-150630;9/17/2015;TB-21520;Consumer;Furniture;Furnishings;1242;3;15525
US-2015-150630;9/17/2015;TB-21520;Consumer;Office Supplies;Envelopes;3264;2;11016
US-2015-150630;9/17/2015;TB-21520;Consumer;Office Supplies;Art;86304;6;97092
US-2015-150630;9/17/2015;TB-21520;Consumer;Office Supplies;Binders;6858;6;-5715
US-2015-150630;9/17/2015;TB-21520;Consumer;Office Supplies;Art;1576;2;3546
CA-2017-107727;10/19/2017;MA-17560;Home Office;Office Supplies;Paper;29472;3;99468
CA-2016-117590;12/8/2016;GH-14485;Corporate;Technology;Phones;1097544;7;1234737
CA-2016-117590;12/8/2016;GH-14485;Corporate;Furniture;Furnishings;19092;5;-147963
CA-2015-117415;12/27/2015;SN-20710;Home Office;Office Supplies;Envelopes;113328;9;35415
CA-2015-117415;12/27/2015;SN-20710;Home Office;Furniture;Bookcases;5323992;3;-469764
CA-2015-117415;12/27/2015;SN-20710;Home Office;Furniture;Chairs;212058;3;-15147
CA-2015-117415;12/27/2015;SN-20710;Home Office;Technology;Phones;371168;4;417564
CA-2017-120999;9/10/2017;LC-16930;Corporate;Technology;Phones;147168;4;165564
CA-2016-101343;7/17/2016;RA-19885;Corporate;Office Supplies;Storage;7788;2;3894
CA-2017-139619;9/19/2017;ES-14080;Corporate;Office Supplies;Storage;95616;2;95616
CA-2016-118255;3/11/2016;ON-18715;Corporate;Technology;Accessories;4598;2;197714
CA-2016-118255;3/11/2016;ON-18715;Corporate;Office Supplies;Binders;1746;2;82062
CA-2014-146703;10/20/2014;PO-18865;Consumer;Office Supplies;Storage;21196;4;84784
CA-2016-169194;6/20/2016;LH-16900;Consumer;Technology;Accessories;45;3;495
CA-2016-169194;6/20/2016;LH-16900;Consumer;Technology;Phones;218;2;6104
CA-2015-115742;4/18/2015;DP-13000;Consumer;Office Supplies;Binders;3822;6;179634
CA-2015-115742;4/18/2015;DP-13000;Consumer;Office Supplies;Labels;7518;6;353346
CA-2015-115742;4/18/2015;DP-13000;Consumer;Furniture;Furnishings;616;2;29568
CA-2015-115742;4/18/2015;DP-13000;Consumer;Furniture;Chairs;8999;1;170981
CA-2016-105816;12/11/2016;JM-15265;Corporate;Office Supplies;Fasteners;1526;7;62566
CA-2016-105816;12/11/2016;JM-15265;Corporate;Technology;Phones;102995;5;2986855
CA-2016-111682;6/17/2016;TB-21055;Consumer;Office Supplies;Storage;20856;6;5214
CA-2016-111682;6/17/2016;TB-21055;Consumer;Office Supplies;Paper;324;5;15552
CA-2016-111682;6/17/2016;TB-21055;Consumer;Furniture;Chairs;31941;5;7098
CA-2016-111682;6/17/2016;TB-21055;Consumer;Office Supplies;Paper;1456;2;69888
CA-2016-111682;6/17/2016;TB-21055;Consumer;Technology;Accessories;30;2;33
CA-2016-111682;6/17/2016;TB-21055;Consumer;Office Supplies;Binders;4848;4;16362
CA-2016-111682;6/17/2016;TB-21055;Consumer;Office Supplies;Art;168;1;84
CA-2015-135545;11/24/2015;KM-16720;Consumer;Technology;Accessories;1398;2;61512
CA-2015-135545;11/24/2015;KM-16720;Consumer;Office Supplies;Binders;25824;6;93612
CA-2015-135545;11/24/2015;KM-16720;Consumer;Office Supplies;Paper;14673;3;689631
CA-2015-135545;11/24/2015;KM-16720;Consumer;Furniture;Furnishings;7976;4;223328
US-2015-164175;4/30/2015;PS-18970;Home Office;Furniture;Chairs;213115;5;-152225
CA-2014-106376;12/5/2014;BS-11590;Corporate;Office Supplies;Art;1113024;8;1113024
CA-2014-106376;12/5/2014;BS-11590;Corporate;Technology;Phones;167968;4;62988
CA-2016-119823;6/4/2016;KD-16270;Consumer;Office Supplies;Paper;7588;2;356636
CA-2016-106075;9/18/2016;HM-14980;Consumer;Office Supplies;Binders;4616;1;1731
